species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
densiflora,igelmossen,36.2,88.1337,10.58,190,59,53,7.39
densiflora,igelmossen,50,79.2474,13.71,187,74,56,11.7
densiflora,igelmossen,39.5,73.4904,13.69,195,20,16,6.1
densiflora,igelmossen,39.3,103.3416,13.83,193,24,22,7.85
densiflora,igelmossen,35.8,112.4802,12.31,195,20,17,7.31
densiflora,igelmossen,52.2,144.0518,14.11,192,44,38,17.193333330000002
densiflora,igelmossen,48,103.9864,14.02,198,44,37,12.623333329999999
densiflora,igelmossen,41.8,159.24,14.55,193,35,28,15.463333329999999
densiflora,igelmossen,40.6,123.6235,13.07,193,42,38,15.36333333
densiflora,igelmossen,42.2,141.504,17.03,190,33,33,13.38666667
densiflora,igelmossen,53.5,91.63,12.63,190,50,35,10.58333333
densiflora,igelmossen,52.8,103.246,12.04,197,43,28,8.0166666670000009
densiflora,igelmossen,48.2,118.6,12.42,189,50,40,8.9
densiflora,igelmossen,51.2,172.6992,15.01,188,72,67,13.50333333
densiflora,igelmossen,30.2,133.3521,15.88,196,29,23,9.9933333330000007
densiflora,igelmossen,33.9,163.2075,15.33,194,22,18,10.97666667
densiflora,igelmossen,40.7,149.9034,14.47,193,55,48,10.88
densiflora,igelmossen,46.3,145.5608,15.66,191,63,53,12.18333333
densiflora,igelmossen,37.9,131.6469,14.57,196,37,36,14.64
densiflora,igelmossen,23.2,144.9097,15.88,193,42,34,10.46666667
densiflora,igelmossen,42.9,155.928,17.46,189,58,51,10.34333333
densiflora,igelmossen,41,142.6848,14.16,193,50,38,9.0133333330000003
densiflora,igelmossen,42.9,102.292,13.51,195,41,40,7.7133333329999996
densiflora,igelmossen,47.5,103.36,15.46,191,40,32,11.53333333
densiflora,igelmossen,57,96.672,14.36,193,74,70,15.286666670000001
densiflora,igelmossen,54,209.157,15.18,188,92,91,11.15
densiflora,igelmossen,45.5,159.2125,17.16,192,46,39,12.346666669999999
densiflora,igelmossen,38.3,115.4608,14.84,191,42,26,10.22666667
densiflora,igelmossen,43.9,95.9082,13.7,195,52,30,9.86
